Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,22:58:11.252,38.0,45.353,44.936,18.0,204.3,
16.4.2025,22:58:11.750,39.2,48.117,44.696,19.0,205.9,
16.4.2025,22:58:12.250,39.2,48.117,45.176,19.0,205.9,
16.4.2025,22:58:12.747,38.2,46.067,44.579,19.0,206.7,
16.4.2025,22:58:13.260,38.9,48.163,44.790,19.0,207.6,
16.4.2025,22:58:13.746,38.2,47.288,44.737,19.0,205.1,
16.4.2025,22:58:14.246,38.1,45.343,44.492,20.0,209.1,
16.4.2025,22:58:14.771,38.5,47.128,44.404,19.0,207.7,
16.4.2025,22:58:15.269,37.5,46.336,44.946,19.0,207.9,
16.4.2025,22:58:15.767,38.1,48.874,44.361,19.0,210.9,
16.4.2025,22:58:16.263,38.3,46.292,44.720,19.0,204.4,
16.4.2025,22:58:16.776,37.4,45.316,44.066,17.0,202.5,
16.4.2025,22:58:17.290,38.0,45.984,44.947,20.0,208.8,
16.4.2025,22:58:17.800,37.8,45.125,44.687,17.0,209.3,
16.4.2025,22:58:18.299,37.8,46.953,44.566,20.0,206.8,
16.4.2025,22:58:18.800,38.2,47.431,44.620,19.0,207.0,
16.4.2025,22:58:19.316,37.8,45.953,44.712,19.0,207.4,
16.4.2025,22:58:19.812,38.1,46.172,44.988,19.0,210.0,
16.4.2025,22:58:20.313,37.5,45.834,44.386,19.0,209.3,
16.4.2025,22:58:20.810,37.7,46.125,44.863,19.0,208.8,
16.4.2025,22:58:21.310,37.8,45.636,44.684,20.0,208.1,
16.4.2025,22:58:21.836,37.9,48.193,44.670,19.0,207.2,
16.4.2025,22:58:22.336,37.9,45.652,44.628,19.0,208.2,
16.4.2025,22:58:22.831,37.8,46.568,44.409,19.0,204.4,
16.4.2025,22:58:23.334,37.6,46.127,44.685,18.0,206.8,
16.4.2025,22:58:23.827,37.3,46.714,44.715,19.0,205.7,
16.4.2025,22:58:24.324,37.7,45.522,44.398,19.0,208.2,
16.4.2025,22:58:24.835,38.1,47.319,44.823,19.0,209.6,
16.4.2025,22:58:25.333,37.8,47.110,44.627,18.0,209.0,
16.4.2025,22:58:25.831,37.8,46.334,44.629,19.0,208.5,
