Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,22:14:39.578,43.685,14.0,57.5,44.347,41.7,
13.4.2025,22:14:40.081,44.471,14.0,57.8,43.217,38.7,
13.4.2025,22:14:40.577,44.574,15.0,57.9,42.935,38.8,
13.4.2025,22:14:41.080,44.252,14.0,58.1,42.963,39.2,
13.4.2025,22:14:41.581,43.931,12.0,58.3,43.511,39.9,
13.4.2025,22:14:42.084,43.981,14.0,58.3,41.969,38.4,
13.4.2025,22:14:42.587,43.891,13.0,58.4,42.854,39.8,
13.4.2025,22:14:43.083,44.076,14.0,58.4,43.196,39.1,
13.4.2025,22:14:43.582,43.842,12.0,58.6,42.481,38.8,
13.4.2025,22:14:44.078,43.891,13.0,58.6,42.481,38.3,
13.4.2025,22:14:44.583,44.293,14.0,58.5,42.484,38.3,
13.4.2025,22:14:45.084,43.289,14.0,58.3,43.373,38.7,
13.4.2025,22:14:45.582,43.841,13.0,58.0,43.373,38.7,
13.4.2025,22:14:46.082,44.590,13.0,58.3,43.716,39.0,
13.4.2025,22:14:46.582,44.377,18.0,58.3,43.179,39.3,
13.4.2025,22:14:47.082,43.795,14.0,58.3,42.084,38.9,
13.4.2025,22:14:47.581,44.550,16.0,58.3,42.673,39.6,
13.4.2025,22:14:48.078,44.094,13.0,58.2,42.596,39.6,
13.4.2025,22:14:48.578,44.264,13.0,58.5,41.965,38.9,
13.4.2025,22:14:49.080,43.364,14.0,58.6,43.239,39.0,
13.4.2025,22:14:49.582,44.224,13.0,58.6,42.642,38.6,
13.4.2025,22:14:50.080,44.372,13.0,58.6,42.192,38.9,
13.4.2025,22:14:50.583,44.377,13.0,58.4,41.916,38.2,
13.4.2025,22:14:51.087,44.213,13.0,58.4,42.902,39.0,
13.4.2025,22:14:51.586,43.292,9.0,58.5,42.204,38.6,
13.4.2025,22:14:52.091,44.655,13.0,58.3,42.900,38.7,
13.4.2025,22:14:52.575,44.655,13.0,58.3,42.929,38.6,
13.4.2025,22:14:53.078,43.626,18.0,58.3,42.145,39.3,
13.4.2025,22:14:53.580,43.529,13.0,58.4,43.217,38.5,
13.4.2025,22:14:54.082,43.497,17.0,58.4,42.790,39.3,
13.4.2025,22:14:54.582,43.502,13.0,58.5,42.707,38.8,
13.4.2025,22:14:55.081,44.389,15.0,58.4,43.167,38.7,
13.4.2025,22:14:55.585,43.505,13.0,58.4,42.568,38.8,
13.4.2025,22:14:56.087,44.147,17.0,58.4,42.060,38.6,
13.4.2025,22:14:56.579,44.409,13.0,58.5,43.906,38.9,
13.4.2025,22:14:57.081,43.468,17.0,58.5,42.208,39.0,
13.4.2025,22:14:57.582,44.027,15.0,58.3,42.214,38.7,
13.4.2025,22:14:58.088,44.226,17.0,58.2,42.068,39.1,
13.4.2025,22:14:58.587,45.277,15.0,58.4,42.496,38.6,
13.4.2025,22:14:59.086,43.412,16.0,58.2,43.145,38.8,
13.4.2025,22:14:59.583,44.148,16.0,58.2,43.050,39.1,
13.4.2025,22:15:0.086,44.122,16.0,58.4,41.927,39.1,
13.4.2025,22:15:0.583,44.422,14.0,58.4,41.999,39.0,
13.4.2025,22:15:1.087,44.341,16.0,58.4,42.758,39.1,
13.4.2025,22:15:1.588,43.753,13.0,58.0,41.978,39.2,
13.4.2025,22:15:2.075,44.294,15.0,58.2,43.445,38.9,
13.4.2025,22:15:2.577,44.051,13.0,58.4,44.291,39.6,
13.4.2025,22:15:3.077,45.314,15.0,58.5,42.954,39.1,
13.4.2025,22:15:3.575,44.651,13.0,58.4,43.813,40.8,
13.4.2025,22:15:4.080,44.375,16.0,58.4,43.756,40.0,
13.4.2025,22:15:4.578,44.690,13.0,58.4,43.451,39.3,
13.4.2025,22:15:5.079,45.041,14.0,58.4,42.224,38.9,
13.4.2025,22:15:5.578,44.076,13.0,58.5,42.245,38.9,
13.4.2025,22:15:6.079,45.038,15.0,58.4,42.318,38.8,
13.4.2025,22:15:6.579,43.703,13.0,58.5,42.778,39.2,
13.4.2025,22:15:7.080,45.102,15.0,58.7,42.790,39.0,
13.4.2025,22:15:7.582,44.539,13.0,58.4,42.241,39.2,
13.4.2025,22:15:8.083,44.756,14.0,58.4,43.034,39.6,
13.4.2025,22:15:8.580,43.970,13.0,58.5,43.220,39.1,
13.4.2025,22:15:9.081,44.189,14.0,58.7,42.879,38.9,
13.4.2025,22:15:9.581,44.582,13.0,58.5,43.165,38.8,
13.4.2025,22:15:10.079,44.066,14.0,58.6,43.489,39.0,
13.4.2025,22:15:10.578,43.671,13.0,58.6,44.308,41.0,
13.4.2025,22:15:11.077,43.783,13.0,58.3,42.389,38.9,
13.4.2025,22:15:11.576,43.872,13.0,58.4,43.205,39.5,
13.4.2025,22:15:12.079,44.436,14.0,58.6,42.923,38.9,
13.4.2025,22:15:12.580,44.571,13.0,58.7,42.165,39.3,
13.4.2025,22:15:13.080,44.145,14.0,58.5,43.145,38.8,
13.4.2025,22:15:13.585,44.466,13.0,58.4,43.309,39.3,
13.4.2025,22:15:14.089,44.466,14.0,58.5,42.504,39.2,
13.4.2025,22:15:14.588,43.371,13.0,58.5,42.246,39.1,
13.4.2025,22:15:15.088,45.175,14.0,58.4,42.063,38.7,
13.4.2025,22:15:15.577,44.786,13.0,58.5,41.767,38.6,
13.4.2025,22:15:16.078,43.786,13.0,58.1,42.558,38.3,
13.4.2025,22:15:16.583,45.181,13.0,58.2,42.158,39.2,
13.4.2025,22:15:17.087,44.364,13.0,58.3,42.028,38.7,
13.4.2025,22:15:17.577,44.728,13.0,58.4,42.913,39.3,
13.4.2025,22:15:18.088,44.210,14.0,58.6,42.610,38.7,
13.4.2025,22:15:18.576,44.506,13.0,58.6,43.338,39.2,
13.4.2025,22:15:19.077,44.026,14.0,58.5,43.037,39.2,
13.4.2025,22:15:19.574,44.741,12.0,58.3,42.331,38.9,
13.4.2025,22:15:20.077,44.764,14.0,58.2,42.352,40.1,
13.4.2025,22:15:20.579,44.304,12.0,58.2,42.352,39.4,
13.4.2025,22:15:21.078,43.410,14.0,58.3,42.585,39.4,
13.4.2025,22:15:21.581,44.258,13.0,58.5,43.407,39.6,
13.4.2025,22:15:22.080,44.091,13.0,58.5,48.078,48.9,
13.4.2025,22:15:22.579,42.838,11.0,58.6,48.078,48.9,
13.4.2025,22:15:23.080,44.806,14.0,55.8,52.001,59.0,
13.4.2025,22:15:23.582,43.681,12.0,54.2,43.190,39.1,
13.4.2025,22:15:24.080,43.837,14.0,56.7,43.460,39.7,
13.4.2025,22:15:24.579,45.170,13.0,57.2,43.468,39.5,
13.4.2025,22:15:25.082,45.134,14.0,57.9,42.444,39.6,
13.4.2025,22:15:25.583,45.128,14.0,58.1,43.024,39.8,
13.4.2025,22:15:26.087,44.447,13.0,58.1,41.915,38.8,
13.4.2025,22:15:26.587,44.302,13.0,58.1,42.104,38.9,
13.4.2025,22:15:27.086,43.545,13.0,58.1,42.089,38.9,
13.4.2025,22:15:27.574,44.119,13.0,58.4,42.903,39.2,
13.4.2025,22:15:28.077,43.985,13.0,58.3,43.701,40.6,
13.4.2025,22:15:28.577,43.739,13.0,58.0,43.568,40.9,
13.4.2025,22:15:29.075,43.739,13.0,57.7,42.997,40.6,
13.4.2025,22:15:29.575,44.311,12.0,57.6,43.005,41.3,
13.4.2025,22:15:30.088,44.536,6.0,57.6,44.693,42.4,
13.4.2025,22:15:30.578,44.837,13.0,57.9,42.369,38.8,
13.4.2025,22:15:31.078,43.940,18.0,58.1,42.977,39.3,
