Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,23:7:51.810,44.812,19.0,104.1,48.262,45.3,
13.4.2025,23:7:52.310,44.753,18.0,103.9,47.778,43.3,
13.4.2025,23:7:52.809,44.862,19.0,105.5,48.222,43.6,
13.4.2025,23:7:53.315,45.179,23.0,105.9,48.086,44.0,
13.4.2025,23:7:53.813,44.615,19.0,106.0,47.063,43.9,
13.4.2025,23:7:54.311,44.694,21.0,105.6,48.740,43.8,
13.4.2025,23:7:54.811,44.820,17.0,105.6,47.227,43.2,
13.4.2025,23:7:55.313,44.793,12.0,106.5,47.011,43.2,
13.4.2025,23:7:55.812,45.677,18.0,106.5,47.011,43.2,
13.4.2025,23:7:56.315,44.840,17.0,106.5,48.096,43.4,
13.4.2025,23:7:56.817,45.182,17.0,106.5,48.048,44.1,
13.4.2025,23:7:57.316,45.231,17.0,106.7,47.113,42.9,
13.4.2025,23:7:57.817,45.065,17.0,106.7,47.242,43.4,
13.4.2025,23:7:58.319,45.011,17.0,106.4,47.468,42.8,
13.4.2025,23:7:58.823,44.600,17.0,106.6,47.183,43.5,
13.4.2025,23:7:59.313,44.587,17.0,106.6,47.795,43.7,
13.4.2025,23:7:59.811,45.251,16.0,106.5,47.918,44.2,
13.4.2025,23:8:0.312,44.662,17.0,106.5,47.328,43.7,
13.4.2025,23:8:0.814,45.050,16.0,106.6,47.722,44.8,
13.4.2025,23:8:1.319,44.790,17.0,106.1,45.746,43.1,
13.4.2025,23:8:1.823,45.065,17.0,105.7,47.667,43.8,
13.4.2025,23:8:2.309,45.345,17.0,106.2,46.899,43.0,
13.4.2025,23:8:2.814,44.764,17.0,106.1,46.848,43.7,
13.4.2025,23:8:3.315,45.009,17.0,105.4,45.938,43.0,
13.4.2025,23:8:3.816,44.646,16.0,105.7,47.546,43.4,
13.4.2025,23:8:4.315,45.185,17.0,106.4,48.082,43.4,
13.4.2025,23:8:4.814,45.600,16.0,106.7,47.425,43.3,
13.4.2025,23:8:5.313,44.615,17.0,106.5,47.129,43.2,
13.4.2025,23:8:5.815,45.022,15.0,106.7,47.467,42.9,
13.4.2025,23:8:6.313,44.554,17.0,106.2,47.828,43.3,
13.4.2025,23:8:6.812,45.113,16.0,106.2,47.714,43.8,
13.4.2025,23:8:7.313,44.818,17.0,106.5,48.352,43.0,
13.4.2025,23:8:7.815,45.026,16.0,104.8,49.126,46.1,
13.4.2025,23:8:8.309,45.222,17.0,104.7,48.822,45.3,
13.4.2025,23:8:8.814,44.931,17.0,105.6,47.638,43.5,
13.4.2025,23:8:9.316,45.041,17.0,106.2,47.024,43.4,
13.4.2025,23:8:9.819,44.828,16.0,105.1,49.420,47.1,
13.4.2025,23:8:10.310,44.756,17.0,105.2,47.575,45.0,
13.4.2025,23:8:10.813,44.723,17.0,106.4,47.949,43.3,
13.4.2025,23:8:11.317,44.690,17.0,106.0,47.493,44.0,
13.4.2025,23:8:11.818,44.727,17.0,106.2,48.916,43.7,
13.4.2025,23:8:12.319,45.259,17.0,106.7,47.256,43.7,
13.4.2025,23:8:12.822,45.203,17.0,106.4,47.911,43.8,
13.4.2025,23:8:13.309,44.700,16.0,106.0,47.305,43.2,
13.4.2025,23:8:13.812,44.797,17.0,106.4,47.697,43.4,
13.4.2025,23:8:14.314,44.688,16.0,106.4,47.711,43.5,
13.4.2025,23:8:14.817,45.204,16.0,106.4,48.259,43.6,
13.4.2025,23:8:15.320,45.501,16.0,106.3,46.811,43.0,
13.4.2025,23:8:15.822,45.020,17.0,106.5,48.008,43.8,
13.4.2025,23:8:16.321,44.821,16.0,106.8,47.467,43.3,
13.4.2025,23:8:16.824,45.555,16.0,106.6,47.453,43.6,
13.4.2025,23:8:17.313,44.591,16.0,106.4,47.131,42.9,
13.4.2025,23:8:17.814,44.838,16.0,106.2,47.569,43.3,
13.4.2025,23:8:18.317,45.034,16.0,106.1,47.854,43.8,
13.4.2025,23:8:18.820,44.840,16.0,106.7,47.399,43.6,
13.4.2025,23:8:19.324,44.757,15.0,105.7,47.320,43.1,
13.4.2025,23:8:19.810,45.041,16.0,105.5,47.025,43.2,
13.4.2025,23:8:20.310,44.427,15.0,105.6,46.719,43.4,
13.4.2025,23:8:20.810,44.751,16.0,105.6,49.060,45.5,
13.4.2025,23:8:21.310,44.456,16.0,106.2,47.034,43.4,
13.4.2025,23:8:21.809,44.537,16.0,105.1,47.751,44.1,
13.4.2025,23:8:22.311,45.173,17.0,105.7,47.374,43.1,
13.4.2025,23:8:22.808,45.525,17.0,106.5,47.890,43.4,
13.4.2025,23:8:23.310,45.352,17.0,106.2,47.509,44.0,
13.4.2025,23:8:23.820,45.306,16.0,106.4,48.027,43.3,
13.4.2025,23:8:24.324,44.673,17.0,106.5,46.552,43.2,
13.4.2025,23:8:24.823,44.673,17.0,106.4,47.085,43.3,
13.4.2025,23:8:25.310,44.840,16.0,106.4,46.154,43.0,
13.4.2025,23:8:25.810,45.255,17.0,106.1,46.449,43.2,
13.4.2025,23:8:26.310,44.958,16.0,105.9,46.994,43.0,
13.4.2025,23:8:26.814,44.179,17.0,105.2,46.448,43.4,
13.4.2025,23:8:27.315,45.165,17.0,105.9,47.715,43.7,
13.4.2025,23:8:27.814,44.591,58.0,106.2,47.213,43.1,
13.4.2025,23:8:28.313,44.936,17.0,106.4,47.971,43.4,
13.4.2025,23:8:28.814,45.690,17.0,106.4,47.254,43.2,
13.4.2025,23:8:29.311,44.927,18.0,106.8,47.764,43.6,
13.4.2025,23:8:29.811,44.856,21.0,106.7,47.745,43.4,
13.4.2025,23:8:30.314,44.966,19.0,107.0,48.233,43.5,
13.4.2025,23:8:30.812,45.708,20.0,107.0,48.540,43.7,
