Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,23:56:34.785,51.0,48.535,45.873,19.0,68.4,
16.4.2025,23:56:35.287,51.4,49.023,45.754,18.0,68.1,
16.4.2025,23:56:35.786,51.6,49.465,45.271,18.0,68.3,
16.4.2025,23:56:36.290,51.8,49.003,45.845,19.0,68.2,
16.4.2025,23:56:36.789,52.0,50.504,46.538,19.0,68.2,
16.4.2025,23:56:37.289,51.4,49.419,46.062,18.0,67.9,
16.4.2025,23:56:37.790,51.7,49.419,46.225,18.0,67.9,
16.4.2025,23:56:38.287,51.7,49.161,45.904,16.0,68.2,
16.4.2025,23:56:38.787,50.8,48.409,45.401,19.0,68.2,
16.4.2025,23:56:39.291,52.0,49.670,46.070,19.0,68.0,
16.4.2025,23:56:39.793,51.2,49.389,44.722,18.0,68.3,
16.4.2025,23:56:40.288,51.4,49.481,46.556,16.0,68.2,
16.4.2025,23:56:40.788,52.1,49.755,46.556,16.0,68.0,
16.4.2025,23:56:41.292,51.3,48.368,46.649,18.0,68.1,
16.4.2025,23:56:41.777,51.3,48.459,45.847,21.0,68.2,
16.4.2025,23:56:42.281,51.6,49.913,45.445,18.0,68.4,
16.4.2025,23:56:42.785,50.7,48.886,45.689,21.0,68.4,
16.4.2025,23:56:43.286,51.6,49.500,46.146,18.0,68.3,
16.4.2025,23:56:43.784,51.0,48.836,46.347,19.0,68.2,
16.4.2025,23:56:44.285,51.8,49.059,45.835,26.0,68.3,
16.4.2025,23:56:44.784,50.8,49.673,45.745,21.0,68.1,
16.4.2025,23:56:45.287,50.9,49.190,46.301,19.0,68.1,
16.4.2025,23:56:45.786,50.2,48.106,46.998,21.0,67.8,
16.4.2025,23:56:46.286,52.0,49.149,45.740,19.0,67.9,
16.4.2025,23:56:46.788,51.5,49.685,45.620,20.0,68.2,
16.4.2025,23:56:47.290,51.2,49.228,46.156,19.0,68.4,
16.4.2025,23:56:47.779,51.1,49.004,45.253,20.0,68.4,
16.4.2025,23:56:48.280,51.1,48.484,45.605,19.0,68.1,
16.4.2025,23:56:48.787,50.8,49.835,46.512,21.0,68.2,
16.4.2025,23:56:49.284,51.5,49.779,45.691,18.0,68.1,
16.4.2025,23:56:49.786,50.7,48.906,45.905,19.0,68.0,
16.4.2025,23:56:50.281,50.9,49.007,45.847,19.0,68.2,
16.4.2025,23:56:50.781,50.6,49.020,46.278,21.0,67.7,
16.4.2025,23:56:51.285,51.1,49.454,45.810,19.0,68.0,
16.4.2025,23:56:51.789,51.1,49.873,45.839,19.0,68.1,
16.4.2025,23:56:52.284,50.8,48.991,46.039,19.0,68.0,
16.4.2025,23:56:52.789,50.8,48.156,45.987,19.0,68.0,
16.4.2025,23:56:53.290,51.2,49.335,46.908,19.0,67.9,
16.4.2025,23:56:53.790,50.5,48.779,45.336,19.0,68.1,
16.4.2025,23:56:54.290,51.5,48.997,46.270,17.0,67.9,
16.4.2025,23:56:54.788,51.0,49.497,46.447,18.0,68.0,
16.4.2025,23:56:55.287,51.3,49.042,46.293,19.0,68.1,
16.4.2025,23:56:55.790,51.1,49.010,46.334,19.0,68.3,
16.4.2025,23:56:56.290,52.2,50.203,45.047,19.0,68.2,
16.4.2025,23:56:56.779,51.1,48.988,45.606,20.0,68.3,
16.4.2025,23:56:57.282,51.4,48.729,45.511,19.0,68.3,
16.4.2025,23:56:57.785,51.1,49.587,45.610,19.0,68.1,
16.4.2025,23:56:58.285,50.9,49.489,45.603,18.0,68.1,
16.4.2025,23:56:58.786,51.1,49.377,45.668,19.0,68.0,
16.4.2025,23:56:59.287,51.2,49.901,45.810,18.0,67.9,
16.4.2025,23:56:59.788,50.7,49.404,46.146,19.0,67.8,
16.4.2025,23:57:0.287,51.5,48.871,45.169,18.0,67.8,
16.4.2025,23:57:0.785,50.9,49.855,45.857,20.0,67.9,
16.4.2025,23:57:1.282,50.6,48.891,45.374,19.0,67.7,
16.4.2025,23:57:1.782,51.2,49.402,46.168,19.0,67.6,
16.4.2025,23:57:2.287,51.3,49.603,46.351,19.0,67.8,
16.4.2025,23:57:2.789,51.4,49.931,45.285,17.0,68.1,
16.4.2025,23:57:3.284,51.5,49.627,45.878,19.0,68.3,
16.4.2025,23:57:3.786,50.9,48.970,45.525,19.0,68.3,
16.4.2025,23:57:4.286,51.1,49.233,45.631,19.0,68.3,
16.4.2025,23:57:4.786,51.2,49.517,46.589,17.0,68.1,
16.4.2025,23:57:5.288,51.0,50.206,46.422,18.0,68.1,
16.4.2025,23:57:5.789,51.1,49.380,46.082,19.0,68.1,
16.4.2025,23:57:6.292,50.7,49.486,45.970,18.0,68.1,
16.4.2025,23:57:6.792,50.9,49.152,47.040,20.0,67.6,
16.4.2025,23:57:7.291,51.2,50.072,45.535,17.0,67.9,
16.4.2025,23:57:7.791,50.7,48.546,45.941,19.0,68.0,
16.4.2025,23:57:8.292,50.3,48.839,45.935,19.0,67.9,
16.4.2025,23:57:8.793,51.5,48.814,45.681,19.0,67.8,
16.4.2025,23:57:9.296,51.1,49.713,45.149,18.0,67.9,
16.4.2025,23:57:9.798,50.6,48.625,45.737,19.0,68.0,
16.4.2025,23:57:10.296,51.5,48.909,45.551,18.0,68.0,
16.4.2025,23:57:10.797,50.8,49.241,46.468,19.0,67.7,
16.4.2025,23:57:11.299,50.7,48.897,45.327,18.0,68.0,
16.4.2025,23:57:11.802,51.5,50.374,45.687,19.0,67.9,
