Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,22:47:44.329,16.3,31.171,49.996,23.0,229.1,
16.4.2025,22:47:44.830,16.6,31.593,49.144,21.0,229.5,
16.4.2025,22:47:45.330,16.4,30.806,49.742,21.0,230.3,
16.4.2025,22:47:45.827,16.6,30.652,50.500,20.0,228.6,
16.4.2025,22:47:46.325,16.9,31.750,50.097,20.0,228.2,
16.4.2025,22:47:46.827,16.3,31.274,50.356,23.0,230.2,
16.4.2025,22:47:47.328,16.5,30.985,50.151,21.0,226.5,
16.4.2025,22:47:47.828,16.4,31.271,50.491,21.0,228.9,
16.4.2025,22:47:48.327,16.4,31.315,49.835,20.0,228.1,
16.4.2025,22:47:48.823,16.5,30.947,49.921,21.0,226.4,
16.4.2025,22:47:49.325,16.3,31.288,50.093,21.0,229.3,
16.4.2025,22:47:49.839,16.2,30.988,49.739,22.0,230.4,
16.4.2025,22:47:50.365,16.4,30.909,49.924,20.0,231.0,
16.4.2025,22:47:50.883,16.4,31.321,51.326,21.0,229.8,
16.4.2025,22:47:51.381,16.4,30.961,50.067,21.0,229.5,
16.4.2025,22:47:51.880,16.6,30.918,50.221,21.0,230.0,
16.4.2025,22:47:52.379,16.3,30.824,51.630,21.0,229.8,
16.4.2025,22:47:52.876,16.2,31.252,51.630,21.0,230.2,
16.4.2025,22:47:53.376,15.9,30.994,50.300,21.0,231.4,
16.4.2025,22:47:53.874,16.4,30.944,50.148,21.0,231.0,
16.4.2025,22:47:54.375,16.2,30.881,50.446,22.0,230.6,
16.4.2025,22:47:54.876,16.3,31.027,50.263,22.0,230.4,
16.4.2025,22:47:55.373,16.3,31.085,50.032,21.0,228.8,
16.4.2025,22:47:55.872,16.3,30.665,50.264,22.0,230.9,
16.4.2025,22:47:56.375,16.4,30.643,49.972,22.0,231.0,
16.4.2025,22:47:56.874,16.3,30.891,51.454,22.0,230.7,
16.4.2025,22:47:57.374,16.2,31.294,50.528,21.0,230.5,
16.4.2025,22:47:57.874,16.3,30.289,50.161,23.0,230.1,
16.4.2025,22:47:58.371,16.2,31.170,50.814,21.0,230.9,
16.4.2025,22:47:58.871,16.4,30.887,50.072,22.0,231.3,
16.4.2025,22:47:59.370,16.3,31.040,50.461,21.0,230.1,
16.4.2025,22:47:59.877,16.3,30.988,50.341,22.0,228.5,
16.4.2025,22:48:0.392,16.7,31.888,50.284,21.0,230.0,
16.4.2025,22:48:0.891,16.2,31.394,49.546,22.0,229.5,
16.4.2025,22:48:1.407,16.3,31.586,50.658,22.0,230.5,
16.4.2025,22:48:1.920,16.4,32.114,49.890,20.0,224.6,
16.4.2025,22:48:2.430,16.2,31.180,51.199,21.0,230.2,
