Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,23:45:50.375,50.590,20.0,217.4,32.127,18.0,
13.4.2025,23:45:50.875,50.109,21.0,217.4,31.169,17.8,
13.4.2025,23:45:51.379,50.393,20.0,216.6,31.338,18.0,
13.4.2025,23:45:51.881,49.734,21.0,213.9,31.587,17.9,
13.4.2025,23:45:52.383,50.336,19.0,214.5,30.928,18.0,
13.4.2025,23:45:52.884,50.484,21.0,216.6,31.139,17.9,
13.4.2025,23:45:53.371,49.038,21.0,215.6,31.206,18.0,
13.4.2025,23:45:53.873,50.068,20.0,216.3,31.288,18.2,
13.4.2025,23:45:54.374,49.824,19.0,216.3,31.241,17.8,
13.4.2025,23:45:54.873,50.110,20.0,214.9,31.713,17.7,
13.4.2025,23:45:55.374,50.391,20.0,214.9,31.713,17.7,
13.4.2025,23:45:55.871,49.569,20.0,216.4,31.265,17.8,
13.4.2025,23:45:56.380,50.134,19.0,210.0,33.412,21.7,
13.4.2025,23:45:56.873,48.757,23.0,182.2,50.819,52.8,
13.4.2025,23:45:57.371,49.397,19.0,204.8,40.211,30.7,
13.4.2025,23:45:57.887,49.719,23.0,209.5,32.863,20.1,
13.4.2025,23:45:58.387,50.177,21.0,199.3,49.152,46.2,
13.4.2025,23:45:58.890,49.611,20.0,213.4,32.762,19.5,
13.4.2025,23:45:59.393,49.137,29.0,213.4,32.751,20.2,
13.4.2025,23:45:59.894,49.812,22.0,198.3,52.040,51.8,
13.4.2025,23:46:0.392,50.097,20.0,211.8,32.045,19.0,
13.4.2025,23:46:0.894,49.379,20.0,212.4,33.631,20.9,
13.4.2025,23:46:1.394,50.499,21.0,215.8,31.675,18.2,
13.4.2025,23:46:1.894,49.620,20.0,215.1,31.390,17.8,
13.4.2025,23:46:2.398,49.685,21.0,216.3,31.355,18.1,
13.4.2025,23:46:2.898,50.874,20.0,217.0,31.594,18.0,
13.4.2025,23:46:3.396,49.648,20.0,217.5,31.147,18.1,
13.4.2025,23:46:3.900,50.184,20.0,216.1,31.811,18.3,
13.4.2025,23:46:4.401,49.677,21.0,213.4,31.858,18.3,
13.4.2025,23:46:4.890,50.787,20.0,215.2,31.999,17.8,
13.4.2025,23:46:5.393,50.549,20.0,213.9,32.454,18.5,
13.4.2025,23:46:5.894,50.444,20.0,216.0,30.928,17.9,
13.4.2025,23:46:6.396,50.532,21.0,215.9,31.427,18.2,
13.4.2025,23:46:6.896,50.466,19.0,215.6,31.270,18.1,
13.4.2025,23:46:7.396,50.020,20.0,216.4,31.777,18.0,
13.4.2025,23:46:7.896,50.874,20.0,216.9,31.343,18.1,
13.4.2025,23:46:8.398,49.705,20.0,215.3,31.290,17.9,
13.4.2025,23:46:8.900,50.346,20.0,215.7,31.800,18.6,
13.4.2025,23:46:9.401,50.180,21.0,216.7,31.265,18.0,
13.4.2025,23:46:9.888,49.866,20.0,216.1,31.218,17.8,
13.4.2025,23:46:10.391,50.520,20.0,215.1,31.312,17.8,
13.4.2025,23:46:10.890,50.520,20.0,214.9,31.064,17.7,
13.4.2025,23:46:11.391,50.047,20.0,215.0,31.303,17.8,
13.4.2025,23:46:11.894,49.464,20.0,217.0,31.293,17.9,
13.4.2025,23:46:12.394,49.802,20.0,214.8,31.431,18.0,
13.4.2025,23:46:12.888,49.393,20.0,214.8,32.147,18.3,
13.4.2025,23:46:13.392,48.983,23.0,211.8,30.439,18.1,
13.4.2025,23:46:13.891,49.949,21.0,215.3,31.163,18.3,
13.4.2025,23:46:14.389,49.969,22.0,215.8,31.325,18.3,
13.4.2025,23:46:14.890,49.924,21.0,216.3,31.415,18.2,
13.4.2025,23:46:15.388,50.071,23.0,215.5,30.888,17.8,
13.4.2025,23:46:15.887,50.604,21.0,216.4,31.301,17.8,
13.4.2025,23:46:16.413,49.619,22.0,216.9,31.029,17.8,
13.4.2025,23:46:16.903,49.506,20.0,217.2,31.081,17.6,
13.4.2025,23:46:17.405,49.569,22.0,217.7,31.295,17.7,
13.4.2025,23:46:17.906,50.054,22.0,215.3,30.953,17.8,
13.4.2025,23:46:18.406,49.935,22.0,216.3,31.454,17.9,
13.4.2025,23:46:18.906,49.819,21.0,215.8,31.444,17.7,
13.4.2025,23:46:19.405,49.923,21.0,216.1,31.403,17.9,
13.4.2025,23:46:19.908,50.587,21.0,215.7,31.547,17.9,
13.4.2025,23:46:20.408,50.435,22.0,215.3,31.457,17.9,
13.4.2025,23:46:20.903,50.709,21.0,214.3,31.244,18.3,
13.4.2025,23:46:21.404,49.464,21.0,214.5,31.836,18.0,
13.4.2025,23:46:21.908,51.055,20.0,213.8,31.504,18.3,
13.4.2025,23:46:22.407,50.142,21.0,216.2,31.840,18.0,
13.4.2025,23:46:22.904,50.860,22.0,216.6,31.596,18.0,
13.4.2025,23:46:23.405,50.579,21.0,217.0,31.202,18.1,
13.4.2025,23:46:23.908,50.536,21.0,215.0,32.403,18.3,
13.4.2025,23:46:24.408,50.141,22.0,216.0,32.320,18.5,
