Date,Time,"Celkové využití CPU [%]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]",
16.4.2025,21:28:17.516,44.4,43.942,53.621,67.0,1867.3,
16.4.2025,21:28:18.017,45.3,44.201,53.586,67.0,1813.6,
16.4.2025,21:28:18.514,44.6,44.287,53.606,66.0,1969.7,
16.4.2025,21:28:19.017,45.0,44.619,53.569,66.0,1779.1,
16.4.2025,21:28:19.522,44.3,43.800,53.585,67.0,1961.4,
16.4.2025,21:28:20.023,49.3,46.421,53.234,66.0,1892.4,
16.4.2025,21:28:20.518,44.6,44.251,53.435,67.0,1949.6,
16.4.2025,21:28:21.018,44.6,43.696,53.559,66.0,1970.5,
16.4.2025,21:28:21.516,44.9,44.838,53.547,66.0,1949.6,
16.4.2025,21:28:22.018,44.6,43.842,53.630,67.0,1962.3,
16.4.2025,21:28:22.521,44.6,44.237,53.631,67.0,1969.3,
16.4.2025,21:28:23.020,47.5,45.722,53.403,66.0,1834.0,
16.4.2025,21:28:23.516,46.4,45.487,53.396,66.0,1996.3,
16.4.2025,21:28:24.017,46.7,45.782,53.598,67.0,1927.9,
16.4.2025,21:28:24.519,46.4,45.327,53.423,67.0,1982.3,
16.4.2025,21:28:25.016,50.8,47.562,53.262,66.0,1939.5,
16.4.2025,21:28:25.517,46.4,45.596,53.315,66.0,1918.1,
16.4.2025,21:28:26.020,46.6,45.536,53.514,66.0,1965.2,
16.4.2025,21:28:26.523,45.1,43.954,53.432,66.0,1938.8,
16.4.2025,21:28:27.025,46.0,44.469,53.522,66.0,1864.7,
16.4.2025,21:28:27.523,46.7,46.066,53.489,67.0,1989.4,
16.4.2025,21:28:28.022,45.1,43.760,53.422,67.0,1988.4,
16.4.2025,21:28:28.523,44.4,43.587,53.512,67.0,1958.1,
16.4.2025,21:28:29.022,44.6,43.645,53.468,67.0,2002.4,
16.4.2025,21:28:29.526,44.6,44.024,53.502,67.0,1971.6,
16.4.2025,21:28:30.013,44.9,44.292,53.513,67.0,1970.7,
16.4.2025,21:28:30.514,44.8,43.860,53.467,67.0,2012.9,
16.4.2025,21:28:31.015,49.4,45.793,53.216,66.0,1934.6,
16.4.2025,21:28:31.516,44.6,43.792,53.439,66.0,1985.8,
16.4.2025,21:28:32.015,44.9,44.100,53.440,68.0,2011.3,
16.4.2025,21:28:32.516,44.5,44.649,53.413,67.0,2011.3,
16.4.2025,21:28:33.017,44.8,43.699,53.351,66.0,1975.7,
16.4.2025,21:28:33.515,44.8,43.699,53.402,66.0,1975.7,
16.4.2025,21:28:34.012,44.6,43.519,53.337,66.0,1964.6,
16.4.2025,21:28:34.516,44.6,44.499,53.448,66.0,1969.1,
16.4.2025,21:28:35.020,44.6,43.908,53.411,66.0,1964.1,
16.4.2025,21:28:35.519,44.9,44.254,53.392,67.0,1978.9,
16.4.2025,21:28:36.020,45.0,44.278,53.393,67.0,1997.8,
16.4.2025,21:28:36.520,44.9,43.784,53.269,67.0,1963.1,
16.4.2025,21:28:37.025,44.9,44.865,53.398,67.0,1952.5,
16.4.2025,21:28:37.523,45.0,44.396,53.398,67.0,1896.0,
16.4.2025,21:28:38.025,44.5,44.279,53.312,67.0,1933.1,
16.4.2025,21:28:38.522,45.2,44.274,53.342,64.0,1923.9,
16.4.2025,21:28:39.021,44.7,44.477,53.246,66.0,1746.3,
16.4.2025,21:28:39.528,49.4,46.747,53.090,68.0,1758.9,
16.4.2025,21:28:40.011,49.6,46.250,53.234,65.0,1469.1,
16.4.2025,21:28:40.513,55.7,52.047,52.282,68.0,1692.8,
16.4.2025,21:28:41.012,44.9,44.706,53.272,67.0,1804.3,
16.4.2025,21:28:41.513,44.5,43.910,53.263,67.0,1786.6,
16.4.2025,21:28:42.027,44.0,44.059,53.155,66.0,1925.8,
16.4.2025,21:28:42.555,43.8,43.179,53.175,66.0,1810.4,
16.4.2025,21:28:43.055,44.3,43.387,53.200,66.0,1736.3,
16.4.2025,21:28:43.555,44.3,43.434,53.166,66.0,1790.8,
16.4.2025,21:28:44.055,44.4,43.502,53.125,66.0,1702.5,
16.4.2025,21:28:44.544,43.9,43.308,53.206,67.0,1834.0,
16.4.2025,21:28:45.043,46.5,44.505,53.101,66.0,1805.4,
16.4.2025,21:28:45.557,46.0,45.588,52.969,66.0,1897.9,
16.4.2025,21:28:46.054,45.9,45.585,53.076,66.0,1875.5,
16.4.2025,21:28:46.558,51.0,48.225,52.759,66.0,1918.9,
16.4.2025,21:28:47.044,45.9,45.539,53.112,65.0,1961.3,
16.4.2025,21:28:47.558,44.1,42.941,53.085,66.0,1951.6,
16.4.2025,21:28:48.076,45.8,44.975,52.923,66.0,1960.2,
16.4.2025,21:28:48.579,44.7,44.456,53.126,67.0,1723.9,
16.4.2025,21:28:49.076,44.4,43.420,53.010,66.0,1854.4,
16.4.2025,21:28:49.587,44.4,43.172,53.017,67.0,1888.6,
16.4.2025,21:28:50.087,43.9,43.519,53.191,66.0,1898.6,
16.4.2025,21:28:50.588,43.9,42.998,52.976,66.0,1919.2,
16.4.2025,21:28:51.085,44.2,43.806,53.115,66.0,1936.6,
16.4.2025,21:28:51.584,44.3,43.333,53.069,66.0,1897.3,
16.4.2025,21:28:52.086,43.9,42.972,53.124,66.0,1937.1,
16.4.2025,21:28:52.596,44.0,42.677,53.080,66.0,1930.1,
16.4.2025,21:28:53.114,44.6,43.947,53.087,66.0,1952.8,
16.4.2025,21:28:53.615,43.9,43.008,53.068,67.0,1936.3,
