Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
14.4.2025,0:26:26.047,123.452,75.0,715.7,37.305,41.3,
14.4.2025,0:26:26.545,124.032,75.0,719.6,39.836,43.7,
14.4.2025,0:26:27.058,124.038,75.0,723.3,43.916,50.8,
14.4.2025,0:26:27.557,123.841,75.0,724.2,38.507,42.2,
14.4.2025,0:26:28.052,123.724,75.0,719.4,39.120,42.2,
14.4.2025,0:26:28.552,123.220,75.0,718.0,38.095,41.8,
14.4.2025,0:26:29.047,123.619,75.0,726.2,38.445,42.2,
14.4.2025,0:26:29.545,123.604,75.0,726.5,38.437,41.9,
14.4.2025,0:26:30.045,123.832,75.0,727.1,38.267,42.3,
14.4.2025,0:26:30.559,123.595,74.0,720.5,38.342,42.1,
14.4.2025,0:26:31.057,123.596,75.0,716.8,38.460,42.0,
14.4.2025,0:26:31.571,123.597,75.0,722.8,37.313,42.1,
14.4.2025,0:26:32.087,125.704,76.0,726.3,38.154,42.2,
14.4.2025,0:26:32.588,125.791,75.0,725.5,38.049,42.1,
14.4.2025,0:26:33.076,125.182,75.0,726.2,38.178,42.3,
14.4.2025,0:26:33.581,124.220,75.0,728.3,38.256,42.0,
14.4.2025,0:26:34.083,125.060,75.0,725.8,38.204,42.3,
14.4.2025,0:26:34.584,123.792,75.0,720.5,37.750,42.2,
14.4.2025,0:26:35.082,124.059,75.0,722.9,38.888,42.8,
14.4.2025,0:26:35.580,123.987,75.0,726.2,39.148,42.9,
14.4.2025,0:26:36.080,118.767,74.0,727.9,45.319,49.4,
14.4.2025,0:26:36.595,124.949,74.0,728.6,48.775,55.4,
14.4.2025,0:26:37.086,124.550,73.0,638.2,73.119,93.9,
14.4.2025,0:26:37.584,118.313,74.0,638.2,73.119,93.9,
14.4.2025,0:26:38.091,127.531,76.0,753.3,68.248,83.6,
14.4.2025,0:26:38.591,124.000,75.0,753.3,68.248,83.6,
14.4.2025,0:26:39.089,124.816,75.0,730.4,41.920,45.2,
14.4.2025,0:26:39.576,123.743,75.0,726.3,46.679,50.6,
14.4.2025,0:26:40.080,124.069,75.0,727.4,39.749,43.3,
14.4.2025,0:26:40.579,123.867,75.0,721.1,39.155,42.5,
14.4.2025,0:26:41.077,123.739,75.0,724.5,39.327,43.1,
14.4.2025,0:26:41.576,123.710,75.0,731.6,39.470,43.1,
14.4.2025,0:26:42.080,124.140,75.0,731.2,39.018,42.8,
14.4.2025,0:26:42.579,124.140,75.0,721.0,38.331,42.4,
14.4.2025,0:26:43.079,123.968,75.0,728.2,38.941,43.0,
14.4.2025,0:26:43.578,124.507,75.0,720.7,37.885,42.0,
14.4.2025,0:26:44.077,123.896,75.0,722.2,38.218,42.0,
14.4.2025,0:26:44.577,123.709,75.0,728.4,38.657,42.3,
14.4.2025,0:26:45.089,123.983,75.0,726.0,38.241,42.2,
14.4.2025,0:26:45.591,123.641,75.0,730.5,38.510,42.5,
14.4.2025,0:26:46.087,124.146,75.0,725.6,38.507,42.5,
14.4.2025,0:26:46.587,123.822,75.0,730.8,37.866,42.2,
14.4.2025,0:26:47.076,124.146,75.0,730.4,38.598,42.5,
14.4.2025,0:26:47.589,123.847,75.0,723.7,39.128,43.4,
14.4.2025,0:26:48.087,123.811,76.0,720.1,38.802,42.6,
14.4.2025,0:26:48.589,123.518,75.0,720.9,38.400,41.8,
14.4.2025,0:26:49.077,123.789,76.0,723.0,37.949,42.4,
14.4.2025,0:26:49.577,124.589,75.0,720.1,38.958,42.8,
14.4.2025,0:26:50.078,123.789,75.0,718.2,38.208,42.1,
14.4.2025,0:26:50.578,123.569,75.0,714.9,37.800,41.5,
14.4.2025,0:26:51.079,123.821,76.0,718.4,38.526,42.6,
14.4.2025,0:26:51.578,123.669,75.0,715.5,38.419,42.1,
14.4.2025,0:26:52.082,125.682,75.0,719.8,37.989,42.2,
14.4.2025,0:26:52.579,124.353,75.0,718.3,38.615,42.1,
14.4.2025,0:26:53.079,124.428,75.0,725.0,39.266,42.7,
14.4.2025,0:26:53.579,123.989,75.0,721.1,38.800,42.2,
14.4.2025,0:26:54.081,125.770,75.0,731.5,38.821,42.2,
14.4.2025,0:26:54.581,123.805,75.0,713.3,38.498,41.9,
14.4.2025,0:26:55.081,123.800,75.0,721.0,37.812,42.1,
14.4.2025,0:26:55.584,123.918,75.0,720.1,38.168,41.9,
14.4.2025,0:26:56.082,123.453,75.0,721.1,38.314,41.9,
14.4.2025,0:26:56.580,123.977,75.0,726.2,37.974,42.8,
14.4.2025,0:26:57.081,123.465,75.0,721.4,37.571,42.1,
14.4.2025,0:26:57.583,123.818,75.0,718.5,37.762,42.2,
14.4.2025,0:26:58.081,124.130,75.0,725.8,38.265,42.4,
14.4.2025,0:26:58.585,123.962,75.0,724.7,38.256,42.0,
14.4.2025,0:26:59.082,125.152,75.0,736.3,38.517,42.9,
14.4.2025,0:26:59.585,126.071,75.0,728.6,38.902,42.7,
14.4.2025,0:27:0.084,124.978,75.0,718.0,38.508,42.6,
14.4.2025,0:27:0.586,123.989,75.0,727.1,38.958,43.2,
14.4.2025,0:27:1.084,124.179,75.0,724.1,38.326,42.5,
14.4.2025,0:27:1.582,123.793,75.0,726.6,38.575,42.1,
14.4.2025,0:27:2.081,124.388,75.0,729.7,39.018,42.6,
14.4.2025,0:27:2.580,124.053,75.0,728.0,38.288,42.2,
14.4.2025,0:27:3.082,123.691,75.0,713.5,39.088,42.3,
14.4.2025,0:27:3.583,123.782,75.0,721.5,38.646,42.4,
14.4.2025,0:27:4.083,123.540,75.0,714.8,38.878,42.3,
14.4.2025,0:27:4.581,125.750,75.0,715.4,37.898,41.8,
14.4.2025,0:27:5.080,125.660,75.0,718.6,38.490,42.3,
14.4.2025,0:27:5.587,125.193,75.0,723.0,38.082,42.0,
14.4.2025,0:27:6.089,125.221,75.0,719.4,38.966,42.7,
14.4.2025,0:27:6.586,125.044,75.0,718.0,38.104,42.6,
14.4.2025,0:27:7.081,125.056,75.0,723.5,38.698,42.0,
14.4.2025,0:27:7.580,125.043,75.0,716.0,37.405,41.8,
14.4.2025,0:27:8.076,125.243,75.0,720.3,38.927,42.4,
14.4.2025,0:27:8.579,124.669,74.0,711.2,38.194,42.3,
14.4.2025,0:27:9.078,125.369,75.0,711.2,38.194,42.3,
14.4.2025,0:27:9.577,125.212,75.0,722.7,38.347,42.6,
14.4.2025,0:27:10.076,125.431,75.0,716.3,37.742,42.4,
14.4.2025,0:27:10.578,125.537,75.0,723.2,38.488,42.8,
14.4.2025,0:27:11.078,125.386,75.0,720.4,42.147,45.3,
14.4.2025,0:27:11.576,124.605,75.0,720.9,39.448,42.9,
14.4.2025,0:27:12.088,124.306,75.0,721.7,38.986,42.2,
14.4.2025,0:27:12.589,124.473,75.0,718.9,38.650,42.4,
14.4.2025,0:27:13.086,124.127,75.0,719.1,38.287,42.5,
14.4.2025,0:27:13.583,124.589,75.0,716.5,38.068,42.2,
14.4.2025,0:27:14.080,124.589,75.0,721.4,38.613,42.4,
14.4.2025,0:27:14.579,124.371,75.0,730.9,38.379,42.2,
14.4.2025,0:27:15.089,124.626,76.0,727.6,38.307,42.0,
14.4.2025,0:27:15.588,124.470,75.0,722.9,38.435,42.5,
14.4.2025,0:27:16.087,124.376,76.0,727.0,38.811,42.1,
14.4.2025,0:27:16.591,124.119,75.0,723.9,39.093,42.3,
14.4.2025,0:27:17.103,125.015,76.0,718.1,38.686,42.6,
14.4.2025,0:27:17.602,125.102,75.0,726.2,37.780,42.2,
14.4.2025,0:27:18.119,125.211,76.0,733.0,38.115,42.4,
14.4.2025,0:27:18.619,125.173,75.0,720.5,38.168,42.2,
14.4.2025,0:27:19.132,125.332,76.0,724.1,38.483,42.2,
14.4.2025,0:27:19.631,125.091,75.0,727.5,38.551,42.4,
14.4.2025,0:27:20.129,124.989,75.0,720.7,38.206,42.1,
14.4.2025,0:27:20.626,125.209,75.0,716.0,38.538,42.4,
14.4.2025,0:27:21.130,124.820,75.0,723.0,38.487,42.4,
14.4.2025,0:27:21.627,124.894,76.0,716.9,38.987,42.5,
14.4.2025,0:27:22.127,124.675,76.0,715.2,38.643,42.1,
14.4.2025,0:27:22.628,125.313,75.0,719.8,37.700,42.1,
14.4.2025,0:27:23.126,125.224,76.0,721.2,39.051,42.8,
14.4.2025,0:27:23.625,125.014,75.0,727.4,39.133,42.3,
14.4.2025,0:27:24.125,125.610,75.0,724.6,38.481,42.4,
14.4.2025,0:27:24.624,124.417,75.0,722.4,38.612,42.1,
14.4.2025,0:27:25.125,123.805,75.0,723.6,38.381,42.3,
14.4.2025,0:27:25.623,124.244,75.0,731.6,38.810,42.4,
14.4.2025,0:27:26.123,124.055,75.0,735.1,38.155,42.1,
14.4.2025,0:27:26.637,124.153,75.0,727.9,38.338,42.7,
14.4.2025,0:27:27.152,124.369,75.0,732.1,38.628,42.5,
14.4.2025,0:27:27.651,124.392,75.0,728.4,39.438,42.6,
14.4.2025,0:27:28.153,123.970,75.0,724.3,39.082,42.5,
14.4.2025,0:27:28.670,124.179,75.0,725.7,39.031,42.6,
14.4.2025,0:27:29.182,124.348,75.0,723.0,37.812,42.2,
14.4.2025,0:27:29.685,123.837,75.0,728.7,38.725,42.5,
14.4.2025,0:27:30.200,123.843,75.0,720.4,38.729,42.4,
14.4.2025,0:27:30.686,123.872,75.0,719.9,37.598,41.8,
14.4.2025,0:27:31.184,124.073,75.0,726.0,38.005,42.1,
14.4.2025,0:27:31.698,124.415,75.0,725.4,38.844,42.6,
14.4.2025,0:27:32.230,124.084,75.0,728.5,39.178,42.2,
14.4.2025,0:27:32.714,119.837,73.0,688.1,49.026,55.9,
14.4.2025,0:27:33.218,126.457,75.0,755.6,65.928,82.7,
14.4.2025,0:27:33.728,127.283,75.0,753.3,53.465,59.4,
14.4.2025,0:27:34.244,119.382,75.0,695.9,39.696,43.6,
14.4.2025,0:27:34.764,123.254,75.0,765.0,50.261,59.0,
14.4.2025,0:27:35.245,127.242,76.0,749.6,58.713,67.2,
14.4.2025,0:27:35.749,124.391,75.0,732.7,41.380,45.4,
14.4.2025,0:27:36.246,118.218,75.0,684.7,41.744,45.1,
14.4.2025,0:27:36.747,125.443,75.0,755.6,63.110,77.4,
14.4.2025,0:27:37.236,125.631,75.0,735.1,44.269,47.1,
14.4.2025,0:27:37.736,124.688,75.0,731.4,41.325,45.2,
14.4.2025,0:27:38.254,123.515,75.0,728.6,39.660,43.1,
14.4.2025,0:27:38.757,123.861,75.0,726.9,38.330,42.4,
14.4.2025,0:27:39.255,124.317,75.0,731.4,38.843,42.5,
14.4.2025,0:27:39.757,123.836,75.0,718.9,38.634,42.1,
14.4.2025,0:27:40.258,124.889,75.0,719.1,38.457,42.4,
14.4.2025,0:27:40.760,125.951,75.0,723.0,44.450,54.2,
14.4.2025,0:27:41.262,127.067,75.0,732.7,44.435,49.0,
14.4.2025,0:27:41.755,125.335,75.0,733.2,42.587,48.6,
14.4.2025,0:27:42.256,123.888,75.0,717.0,39.180,42.5,
14.4.2025,0:27:42.758,123.865,75.0,727.5,38.532,43.0,
14.4.2025,0:27:43.257,124.288,75.0,723.7,38.727,42.5,
14.4.2025,0:27:43.756,124.127,75.0,721.9,39.329,42.3,
14.4.2025,0:27:44.257,124.414,75.0,726.6,38.615,42.5,
14.4.2025,0:27:44.752,124.590,75.0,719.8,38.394,42.5,
14.4.2025,0:27:45.251,123.841,75.0,721.9,38.641,42.2,
14.4.2025,0:27:45.754,124.242,75.0,729.6,38.720,42.6,
14.4.2025,0:27:46.252,124.206,75.0,723.7,39.571,43.9,
14.4.2025,0:27:46.753,124.619,75.0,723.3,38.383,42.6,
14.4.2025,0:27:47.255,124.055,75.0,725.1,37.912,42.2,
14.4.2025,0:27:47.758,124.160,75.0,728.7,39.059,43.1,
14.4.2025,0:27:48.254,124.580,75.0,717.8,38.004,42.3,
14.4.2025,0:27:48.755,126.684,75.0,720.7,38.430,42.5,
14.4.2025,0:27:49.257,124.148,75.0,720.9,38.869,42.5,
14.4.2025,0:27:49.756,124.061,75.0,720.9,38.869,42.5,
14.4.2025,0:27:50.254,124.423,76.0,717.0,38.365,42.0,
14.4.2025,0:27:50.755,124.175,75.0,721.8,39.115,43.0,
14.4.2025,0:27:51.258,125.022,75.0,719.0,38.059,42.3,
14.4.2025,0:27:51.758,124.557,75.0,720.2,38.675,42.5,
14.4.2025,0:27:52.259,124.296,75.0,723.5,39.145,42.7,
14.4.2025,0:27:52.761,124.036,75.0,717.3,38.330,42.5,
14.4.2025,0:27:53.260,123.711,75.0,721.3,39.010,42.6,
14.4.2025,0:27:53.762,123.711,75.0,720.4,38.029,42.0,
14.4.2025,0:27:54.249,124.033,75.0,721.9,37.984,41.9,
14.4.2025,0:27:54.755,124.117,75.0,727.7,39.320,43.1,
14.4.2025,0:27:55.254,123.950,75.0,724.0,38.432,42.0,
14.4.2025,0:27:55.749,123.988,75.0,714.7,37.820,42.1,
14.4.2025,0:27:56.253,124.325,75.0,721.5,38.696,42.1,
14.4.2025,0:27:56.757,124.338,75.0,719.9,38.596,42.5,
14.4.2025,0:27:57.257,124.291,75.0,724.8,38.838,42.8,
14.4.2025,0:27:57.756,124.798,75.0,719.5,38.007,42.0,
14.4.2025,0:27:58.251,124.404,75.0,716.2,38.834,42.0,
14.4.2025,0:27:58.753,124.513,75.0,734.0,37.980,42.1,
14.4.2025,0:27:59.250,123.902,75.0,726.7,38.741,42.4,
14.4.2025,0:27:59.749,123.902,75.0,717.5,38.058,42.0,
14.4.2025,0:28:0.263,123.998,75.0,716.7,38.189,41.7,
14.4.2025,0:28:0.763,124.002,75.0,720.6,39.012,42.5,
14.4.2025,0:28:1.247,124.098,75.0,716.6,37.964,41.9,
14.4.2025,0:28:1.749,124.168,77.0,726.3,38.668,42.4,
14.4.2025,0:28:2.267,124.076,75.0,720.2,38.855,42.3,
14.4.2025,0:28:2.767,123.792,75.0,718.1,38.301,42.1,
14.4.2025,0:28:3.266,125.737,75.0,728.8,38.754,42.5,
14.4.2025,0:28:3.769,125.576,75.0,728.5,38.962,42.3,
14.4.2025,0:28:4.267,124.171,75.0,725.2,39.078,42.0,
14.4.2025,0:28:4.765,123.922,75.0,728.2,38.447,42.5,
14.4.2025,0:28:5.264,124.030,75.0,728.7,39.209,42.4,
14.4.2025,0:28:5.766,125.506,75.0,728.5,38.808,42.6,
14.4.2025,0:28:6.266,125.626,75.0,721.1,39.079,42.8,
14.4.2025,0:28:6.763,123.961,75.0,724.6,39.179,42.6,
14.4.2025,0:28:7.265,125.580,76.0,719.5,38.678,42.3,
14.4.2025,0:28:7.764,125.727,75.0,723.3,38.452,42.2,
14.4.2025,0:28:8.267,124.775,75.0,725.7,38.375,42.5,
14.4.2025,0:28:8.765,124.247,75.0,721.9,38.532,42.7,
14.4.2025,0:28:9.268,124.299,75.0,737.2,38.384,42.2,
14.4.2025,0:28:9.767,123.944,75.0,726.8,38.480,42.6,
14.4.2025,0:28:10.262,124.677,76.0,718.3,37.967,42.0,
14.4.2025,0:28:10.764,125.151,75.0,734.3,42.388,45.8,
14.4.2025,0:28:11.277,124.233,75.0,722.3,38.473,42.0,
14.4.2025,0:28:11.772,124.027,75.0,724.4,39.472,42.7,
14.4.2025,0:28:12.272,126.710,75.0,725.0,38.022,42.3,
14.4.2025,0:28:12.775,126.185,75.0,720.4,38.767,42.9,
14.4.2025,0:28:13.277,125.185,75.0,728.1,38.691,42.5,
14.4.2025,0:28:13.777,125.479,75.0,723.0,38.947,42.5,
14.4.2025,0:28:14.277,124.433,75.0,720.7,38.375,42.2,
14.4.2025,0:28:14.776,124.082,75.0,718.9,38.967,42.8,
14.4.2025,0:28:15.276,124.041,75.0,722.8,38.649,42.2,
