Date,Time,"Total Board Power (TBP) [W]","Využití GPU [%]","Snímková frekvence (Presented) [FPS]","CPU Spotřeba energie jádra (SVI3 TFN) [W]","Celkové využití CPU [%]",
13.4.2025,21:34:33.571,40.139,2.0,35.5,13.222,3.3,
13.4.2025,21:34:34.085,39.967,0.0,35.5,14.441,5.0,
13.4.2025,21:34:34.586,39.967,0.0,10.0,13.046,3.5,
13.4.2025,21:34:35.083,39.951,1.0,9.7,13.667,3.9,
13.4.2025,21:34:35.587,38.703,1.0,9.5,13.086,3.9,
13.4.2025,21:34:36.075,39.040,2.0,225.9,16.630,7.4,
13.4.2025,21:34:36.577,38.887,5.0,150.1,17.683,7.5,
13.4.2025,21:34:37.078,38.761,4.0,119.0,14.686,4.9,
13.4.2025,21:34:37.581,38.780,1.0,119.2,13.248,3.8,
13.4.2025,21:34:38.084,39.416,1.0,119.3,14.817,6.1,
13.4.2025,21:34:38.581,40.464,1.0,119.3,17.027,6.9,
13.4.2025,21:34:39.078,39.256,1.0,119.3,19.283,10.9,
13.4.2025,21:34:39.577,39.145,2.0,119.3,13.539,3.4,
13.4.2025,21:34:40.077,40.102,1.0,119.3,13.208,3.6,
13.4.2025,21:34:40.574,39.395,2.0,119.3,13.220,3.2,
13.4.2025,21:34:41.072,38.555,1.0,119.3,13.024,3.5,
13.4.2025,21:34:41.574,38.639,2.0,7.9,12.817,3.2,
13.4.2025,21:34:42.073,39.219,1.0,7.9,13.250,4.0,
13.4.2025,21:34:42.586,39.904,1.0,7.8,13.461,3.6,
13.4.2025,21:34:43.074,39.682,1.0,8.0,13.214,3.6,
13.4.2025,21:34:43.577,39.222,2.0,7.6,13.390,3.3,
13.4.2025,21:34:44.076,39.537,1.0,7.5,12.995,3.6,
13.4.2025,21:34:44.572,39.283,2.0,7.5,13.259,3.3,
13.4.2025,21:34:45.076,38.537,1.0,7.5,14.073,4.3,
13.4.2025,21:34:45.573,38.721,2.0,7.6,13.131,3.4,
13.4.2025,21:34:46.076,38.320,1.0,7.8,13.077,3.4,
13.4.2025,21:34:46.580,38.129,2.0,7.4,13.425,3.7,
13.4.2025,21:34:47.084,38.708,1.0,7.6,13.379,3.6,
13.4.2025,21:34:47.573,39.048,2.0,7.3,13.245,3.6,
13.4.2025,21:34:48.073,38.201,1.0,7.5,13.223,3.4,
13.4.2025,21:34:48.585,39.070,0.0,7.1,13.305,3.5,
13.4.2025,21:34:49.084,39.054,1.0,7.0,13.158,3.4,
13.4.2025,21:34:49.573,39.920,0.0,7.0,13.158,3.4,
13.4.2025,21:34:50.072,40.276,1.0,7.0,13.203,3.5,
13.4.2025,21:34:50.574,39.995,0.0,7.0,13.584,3.8,
13.4.2025,21:34:51.078,39.833,1.0,7.0,13.346,3.5,
13.4.2025,21:34:51.581,39.386,0.0,7.0,13.248,3.4,
13.4.2025,21:34:52.079,39.081,1.0,6.9,13.326,3.5,
13.4.2025,21:34:52.580,38.495,7.0,6.8,13.626,3.8,
13.4.2025,21:34:53.080,39.012,1.0,6.8,13.695,3.8,
13.4.2025,21:34:53.580,38.534,1.0,6.8,13.490,3.4,
13.4.2025,21:34:54.080,38.475,1.0,6.6,13.315,3.5,
13.4.2025,21:34:54.581,39.373,1.0,6.5,13.631,3.3,
13.4.2025,21:34:55.077,38.974,1.0,6.5,12.891,3.4,
13.4.2025,21:34:55.580,38.473,2.0,6.4,13.045,3.3,
13.4.2025,21:34:56.078,39.217,2.0,6.5,13.466,3.7,
13.4.2025,21:34:56.580,38.596,1.0,6.5,13.235,3.5,
13.4.2025,21:34:57.078,39.216,1.0,6.7,13.243,3.3,
13.4.2025,21:34:57.576,38.826,1.0,6.5,12.971,3.6,
13.4.2025,21:34:58.074,39.547,0.0,6.5,13.151,3.4,
13.4.2025,21:34:58.571,39.774,1.0,6.6,13.619,3.6,
13.4.2025,21:34:59.086,40.025,0.0,6.8,13.497,3.4,
13.4.2025,21:34:59.584,39.940,1.0,6.5,13.344,3.4,
13.4.2025,21:35:0.086,39.901,0.0,6.5,12.987,3.3,
13.4.2025,21:35:0.586,39.561,3.0,6.7,14.152,4.2,
13.4.2025,21:35:1.087,39.202,0.0,3314.6,13.688,3.9,
13.4.2025,21:35:1.585,38.310,1.0,226.4,13.629,3.8,
13.4.2025,21:35:2.087,38.387,0.0,226.4,13.052,3.6,
13.4.2025,21:35:2.585,38.709,1.0,226.4,13.314,3.7,
13.4.2025,21:35:3.081,38.946,0.0,226.4,13.268,3.3,
13.4.2025,21:35:3.580,38.946,0.0,226.4,13.630,4.0,
13.4.2025,21:35:4.081,39.664,1.0,226.4,13.252,3.7,
13.4.2025,21:35:4.579,39.832,0.0,226.4,13.218,3.5,
13.4.2025,21:35:5.076,39.025,1.0,226.4,13.664,3.5,
13.4.2025,21:35:5.580,39.599,2.0,7.3,13.199,3.3,
13.4.2025,21:35:6.077,40.408,1.0,7.5,13.384,3.3,
13.4.2025,21:35:6.574,39.798,6.0,7.1,13.144,3.4,
13.4.2025,21:35:7.076,39.190,1.0,7.3,13.151,3.4,
13.4.2025,21:35:7.576,39.727,5.0,7.0,13.113,3.4,
13.4.2025,21:35:8.075,38.414,1.0,6.9,13.564,3.4,
13.4.2025,21:35:8.572,39.845,2.0,7.0,13.096,3.4,
13.4.2025,21:35:9.076,39.213,1.0,7.2,13.112,3.3,
13.4.2025,21:35:9.575,38.624,3.0,6.9,13.224,3.5,
13.4.2025,21:35:10.075,39.610,1.0,7.0,13.645,3.8,
13.4.2025,21:35:10.573,38.286,2.0,7.1,15.692,5.3,
13.4.2025,21:35:11.086,38.179,1.0,7.3,13.023,3.3,
13.4.2025,21:35:11.586,39.703,3.0,7.1,13.465,3.6,
13.4.2025,21:35:12.076,39.339,2.0,7.3,13.595,3.8,
13.4.2025,21:35:12.586,39.913,3.0,7.4,13.654,4.1,
13.4.2025,21:35:13.084,39.815,1.0,7.3,13.059,3.6,
13.4.2025,21:35:13.574,39.441,2.0,7.5,13.227,3.5,
13.4.2025,21:35:14.074,38.809,1.0,7.4,13.522,3.5,
13.4.2025,21:35:14.572,39.769,2.0,7.3,13.718,3.6,
